"presence"	"cld6190_ann"	"dtr6190_ann"	"ecoreg"	"frs6190_ann"	"h_dem"	"pre6190_ann"	"pre6190_l1"	"pre6190_l10"	"pre6190_l4"	"pre6190_l7"	"tmn6190_ann"	"tmp6190_ann"	"tmx6190_ann"	"vap6190_ann"
1	76	104	"10"	2	121	46	84	41	54	3	192	266	337	279
1	76	104	"10"	2	121	46	84	40	54	3	192	266	337	279
1	57	114	"10"	1	211	65	129	56	58	34	140	244	321	221
1	57	112	"10"	3	363	36	71	33	27	13	135	229	307	202
1	57	113	"10"	3	303	39	77	35	29	15	134	229	306	202
1	58	111	"10"	0	166	54	107	48	45	23	156	252	326	235
1	57	110	"8"	0	430	33	61	30	29	15	153	245	326	217
1	77	82	"10"	0	12	60	69	24	96	42	229	275	335	306
1	83	86	"10"	0	23	58	96	30	95	25	220	271	328	301
1	82	85	"10"	0	32	62	84	39	98	29	224	272	328	300
1	77	95	"10"	0	47	70	72	50	92	69	211	264	318	298
1	82	85	"10"	0	34	61	85	39	98	29	224	272	328	300
1	82	90	"10"	0	34	61	78	54	94	29	216	268	324	306
1	66	93	"10"	1	29	33	51	42	28	18	167	243	319	252
1	81	99	"10"	0	46	56	80	23	103	26	203	264	327	295
1	75	86	"10"	0	7	76	116	20	138	49	222	268	325	301
1	76	91	"10"	0	48	54	70	20	99	27	217	267	331	294
1	79	92	"10"	0	19	65	75	17	120	56	221	270	332	305
1	76	94	"10"	0	101	55	63	17	101	31	207	264	326	295
1	77	94	"10"	0	91	55	67	23	89	27	211	268	330	305
1	76	93	"10"	0	17	55	64	19	98	30	208	264	327	297
1	71	92	"10"	0	16	55	64	17	102	30	212	265	329	294
1	66	92	"10"	0	10	55	61	15	105	35	213	266	329	292
1	77	94	"10"	0	35	55	64	20	96	29	208	265	327	299
1	77	94	"10"	0	31	55	66	22	91	28	209	267	329	302
1	78	100	"10"	0	6	66	108	26	120	31	212	268	330	306
1	77	99	"10"	0	1	68	110	28	119	36	213	268	329	304
1	77	99	"10"	0	3	67	109	27	120	33	213	268	329	306
1	75	95	"10"	3	771	42	79	42	29	15	108	195	274	179
1	82	96	"10"	0	86	74	96	81	97	39	206	260	316	302
1	74	98	"10"	1	1366	78	45	120	77	76	156	212	269	214
1	68	103	"10"	2	1569	65	32	95	86	49	138	192	250	171
1	64	87	"6"	0	1	55	16	88	43	71	217	266	319	283
1	69	94	"10"	0	281	71	22	105	75	83	191	242	296	256
1	55	105	"10"	1	181	34	5	59	30	41	207	272	340	287
1	51	115	"8"	3	173	45	9	84	51	41	190	259	333	264
1	51	117	"2"	3	89	46	8	94	53	35	177	248	322	241
1	82	84	"10"	4	121	174	152	210	178	151	207	252	300	274
1	72	87	"6"	1	4	116	46	231	72	118	204	252	307	275
1	82	88	"10"	2	64	180	145	191	173	193	204	252	301	273
1	84	79	"10"	3	92	196	163	238	188	178	217	259	305	290
1	70	87	"10"	0	5	94	27	187	55	111	210	259	311	279
1	64	86	"10"	1	147	64	18	116	43	79	211	258	311	275
1	61	99	"10"	0	152	48	8	61	48	75	212	269	332	284
1	57	104	"10"	0	21	40	4	72	32	54	221	281	353	290
1	68	95	"10"	0	153	65	23	98	57	82	199	253	309	265
1	77	96	"10"	10	189	33	16	48	48	25	89	146	202	135
1	76	97	"10"	0	77	80	26	65	79	141	214	267	338	288
1	45	76	"2"	3	21	14	3	48	6	0	220	276	332	268
1	75	94	"8"	7	489	108	24	118	139	168	156	211	273	201
1	81	94	"10"	1	89	98	112	92	131	71	196	248	301	252
1	64	102	"10"	0	136	57	31	88	77	47	203	264	322	265
1	69	102	"10"	2	314	41	17	64	58	37	146	208	268	200
1	80	108	"10"	0	179	83	53	83	108	94	202	265	329	268
1	80	105	"10"	0	191	85	55	86	111	94	196	258	320	262
1	63	100	"10"	1	31	70	20	128	83	60	216	268	324	281
1	59	100	"10"	0	204	32	5	50	26	39	213	272	338	287
1	58	103	"2"	0	120	33	6	55	28	40	209	271	339	284
1	77	89	"10"	1	95	115	79	155	116	106	196	243	295	254
1	76	88	"10"	1	37	122	83	167	119	113	200	247	298	259
1	54	105	"10"	1	206	96	58	147	35	133	181	242	317	252
1	55	110	"10"	5	994	117	82	158	78	138	133	203	271	206
1	59	98	"10"	0	36	115	97	131	59	179	194	252	323	273
1	56	108	"10"	4	815	114	84	147	79	136	144	212	280	218
1	56	107	"10"	2	247	82	15	163	59	84	175	238	308	253
1	73	153	"8"	25	828	20	27	15	39	4	102	193	280	169
1	82	102	"10"	0	177	65	103	27	117	29	187	247	306	243
1	79	123	"10"	1	42	41	97	2	86	4	184	258	329	239
1	82	115	"10"	4	165	61	113	20	117	20	173	241	306	230
1	82	119	"10"	0	304	101	85	97	134	101	181	251	316	250
1	80	139	"10"	22	997	79	68	78	107	73	115	194	273	185
1	82	118	"10"	14	561	70	116	33	131	28	152	220	286	212
1	45	105	"4"	4	986	46	20	80	12	75	138	211	281	203
1	60	89	"6"	0	2	126	116	136	69	191	205	258	320	283
1	47	85	"10"	2	275	76	46	95	24	140	187	242	302	251
1	52	94	"10"	0	195	88	65	111	19	168	183	245	308	266
1	57	89	"6"	0	4	106	88	109	28	208	185	247	308	286
1	54	98	"10"	3	43	84	48	119	68	87	173	234	297	243
1	55	95	"6"	2	15	83	47	119	67	92	180	238	300	252
1	54	95	"10"	4	16	79	32	135	58	77	168	226	288	233
1	54	100	"10"	3	91	81	51	107	70	96	173	235	300	248
1	53	96	"10"	1	242	81	53	106	66	88	187	246	309	256
1	57	68	"10"	1	30	75	19	120	32	94	217	259	310	283
1	58	70	"10"	1	26	79	23	126	35	99	216	259	310	283
1	59	72	"10"	1	69	79	25	127	36	99	216	259	311	283
1	58	70	"10"	1	26	79	23	126	35	99	216	259	310	283
1	58	67	"10"	1	105	77	26	119	34	100	215	256	307	280
1	61	84	"10"	2	1274	50	15	86	37	63	208	255	307	270
1	65	83	"10"	1	135	72	18	147	40	85	206	253	305	271
1	62	81	"10"	1	47	62	16	123	35	73	211	257	308	275
1	61	81	"10"	1	13	56	15	106	34	67	213	259	310	276
1	64	80	"10"	1	882	81	10	195	30	96	213	259	312	278
1	65	84	"10"	1	151	71	18	141	42	85	207	254	306	272
